DH*001,Corridor,DH
DH*003,Mechanical Room,DH
DH*004,Fire Pump Room,DH
DH*041,Elevator Mechanical Room,DH
DH*043,Electric Room,DH
DH*044,Storage,DH
DH*045,Storage,DH
DH*046,Corridor,DH
DH*048,Maintenance Shop,DH
DH*050,Storage,DH
DH*051,Storage,DH
DH*064,Mechanical Room,DH
DH*065,Elevator Mechanical Room,DH
DH*0E1,Elevator Cars,DH
DH*0E2,Elevator Cars,DH
DH*0STAIR1,Stairwell 1,DH
DH*0STAIR4,Stairwell 4,DH
DH*101,Corridor,DH
DH*102,Electric Room,DH
DH*104,Vestibule,DH
DH*104A,Corridor,DH
DH*105,Vestibule,DH
DH*106,Office: Administrative,DH
DH*107,Administrative Support,DH
DH*108,Sorting/Packaging,DH
DH*109,Corridor,DH
DH*1102,Dh 1102,DH
DH*1103,Dh 1103,DH
DH*1104,Dh 1104,DH
DH*1105,Dh 1105,DH
DH*1106,Dh 1106,DH
DH*1107,Dh 1107,DH
DH*1108,Dh 1108,DH
DH*1109,Dh 1109,DH
DH*111,Student Lounge,DH
DH*1110,Dh 1110,DH
DH*1111,Dh 1111,DH
DH*1112,Dh 1112,DH
DH*1113,Dh 1113,DH
DH*1114,Dh 1114,DH
DH*1115,Dh 1115,DH
DH*1116,Dh 1116,DH
DH*1117,Dh 1117,DH
DH*1118,Dh 1118,DH
DH*1119,Dh 1119,DH
DH*112,Corridor,DH
DH*1122,Dh 1122,DH
DH*1125,Dh 1125,DH
DH*1126,Dh 1126,DH
DH*1127,Dh 1127,DH
DH*1128,Dh 1128,DH
DH*1129,Dh 1129,DH
DH*113,Laundry Room,DH
DH*1130,Dh 1130,DH
DH*1131,Dh 1131,DH
DH*1132,Dh 1132,DH
DH*1133,Dh 1133,DH
DH*1134,Dh 1134,DH
DH*1135,Dh 1135,DH
DH*1136,Dh 1136,DH
DH*1137,Dh 1137,DH
DH*1138,Dh 1138,DH
DH*1139,Dh 1139,DH
DH*114,Bathroom,DH
DH*115,Bathroom,DH
DH*116,Kitchen Area,DH
DH*117,Student Lounge,DH
DH*120,DH 120,DH
DH*1201,Dh 1201,DH
DH*1202,Dh 1202,DH
DH*1203,Dh 1203,DH
DH*1204,Dh 1204,DH
DH*1205,Dh 1205,DH
DH*1206,Dh 1206,DH
DH*1207,Dh 1207,DH
DH*1208,Dh 1208,DH
DH*1209,Dh 1209,DH
DH*1210,Dh 1210,DH
DH*1211,Dh 1211,DH
DH*1212,Dh 1212,DH
DH*1213,Dh 1213,DH
DH*1214,Dh 1214,DH
DH*1215,Dh 1215,DH
DH*1216,Dh 1216,DH
DH*1217,Dh 1217,DH
DH*1218,Dh 1218,DH
DH*1219,Dh 1219,DH
DH*1222,Dh 1222,DH
DH*1223,Dh 1223,DH
DH*1225,Dh 1225,DH
DH*1226,Dh 1226,DH
DH*1227,Dh 1227,DH
DH*1228,Dh 1228,DH
DH*1229,Dh 1229,DH
DH*1230,Dh 1230,DH
DH*1231,Dh 1231,DH
DH*1232,Dh 1232,DH
DH*1233,Dh 1233,DH
DH*1234,Dh 1234,DH
DH*1235,Dh 1235,DH
DH*1236,Dh 1236,DH
DH*1237,Dh 1237,DH
DH*1238,Dh 1238,DH
DH*1239,Dh 1239,DH
DH*1240,Dh 1240,DH
DH*1241,Dh 1241,DH
DH*1242,Dh 1242,DH
DH*1243,Dh 1243,DH
DH*1244,Dh 1244,DH
DH*1245,Dh 1245,DH
DH*1246,Dh 1246,DH
DH*1247,Dh 1247,DH
DH*1248,Dh 1248,DH
DH*1249,Dh 1249,DH
DH*1250,Dh 1250,DH
DH*1251,Dh 1251,DH
DH*1253,Dh 1253,DH
DH*1254,Dh 1254,DH
DH*126,Trash Area,DH
DH*128,Custodial Closet,DH
DH*1301,Dh 1301,DH
DH*1302,Dh 1302,DH
DH*1303,Dh 1303,DH
DH*1304,Dh 1304,DH
DH*1305,Dh 1305,DH
DH*1306,Dh 1306,DH
DH*1307,Dh 1307,DH
DH*1308,Dh 1308,DH
DH*1309,Dh 1309,DH
DH*1310,Dh 1310,DH
DH*1311,Dh 1311,DH
DH*1312,Dh 1312,DH
DH*1313,Dh 1313,DH
DH*1314,Dh 1314,DH
DH*1315,Dh 1315,DH
DH*1316,Dh 1316,DH
DH*1317,Dh 1317,DH
DH*1318,Dh 1318,DH
DH*1319,Dh 1319,DH
DH*1322,Dh 1322,DH
DH*1323,Dh 1323,DH
DH*1325,Dh 1325,DH
DH*1326,Dh 1326,DH
DH*1327,Dh 1327,DH
DH*1328,Dh 1328,DH
DH*1329,Dh 1329,DH
DH*1330,Dh 1330,DH
DH*1331,Dh 1331,DH
DH*1332,Dh 1332,DH
DH*1333,Dh 1333,DH
DH*1334,Dh 1334,DH
DH*1335,Dh 1335,DH
DH*1336,Dh 1336,DH
DH*1337,Dh 1337,DH
DH*1338,Dh 1338,DH
DH*1339,Dh 1339,DH
DH*1341,Dh 1341,DH
DH*1342,Dh 1342,DH
DH*1343,Dh 1343,DH
DH*1344,Dh 1344,DH
DH*1345,Dh 1345,DH
DH*1346,Dh 1346,DH
DH*1347,Dh 1347,DH
DH*1348,Dh 1348,DH
DH*1349,Dh 1349,DH
DH*1350,Dh 1350,DH
DH*1351,Dh 1351,DH
DH*1353,Dh 1353,DH
DH*1354,Dh 1354,DH
DH*1401,Dh 1401,DH
DH*1402,Dh 1402,DH
DH*1403,Dh 1403,DH
DH*1404,Dh 1404,DH
DH*1405,Dh 1405,DH
DH*1406,Dh 1406,DH
DH*1407,Dh 1407,DH
DH*1408,Dh 1408,DH
DH*1409,Dh 1409,DH
DH*1410,Dh 1410,DH
DH*1411,Dh 1411,DH
DH*1412,Dh 1412,DH
DH*1413,Dh 1413,DH
DH*1414,Dh 1414,DH
DH*1415,Dh 1415,DH
DH*1416,Dh 1416,DH
DH*1417,Dh 1417,DH
DH*1418,Dh 1418,DH
DH*1419,Dh 1419,DH
DH*1422,Dh 1422,DH
DH*1423,Dh 1423,DH
DH*1425,Dh 1425,DH
DH*1426,Dh 1426,DH
DH*1427,Dh 1427,DH
DH*1428,Dh 1428,DH
DH*1429,Dh 1429,DH
DH*143,Loading Dock,DH
DH*1430,Dh 1430,DH
DH*1431,Dh 1431,DH
DH*1432,Dh 1432,DH
DH*1433,Dh 1433,DH
DH*1434,Dh 1434,DH
DH*1435,Dh 1435,DH
DH*1436,Dh 1436,DH
DH*1437,Dh 1437,DH
DH*1438,Dh 1438,DH
DH*1439,Dh 1439,DH
DH*144,Break Room,DH
DH*1441,Dh 1441,DH
DH*1442,Dh 1442,DH
DH*1443,Dh 1443,DH
DH*1444,Dh 1444,DH
DH*1445,Dh 1445,DH
DH*1446,Dh 1446,DH
DH*1447,Dh 1447,DH
DH*1448,Dh 1448,DH
DH*1449,Dh 1449,DH
DH*145,Bathroom,DH
DH*1450,Dh 1450,DH
DH*1451,Dh 1451,DH
DH*1453,Dh 1453,DH
DH*1454,Dh 1454,DH
DH*146,Corridor,DH
DH*147,Storage,DH
DH*1501,Dh 1501,DH
DH*1502,Dh 1502,DH
DH*1503,Dh 1503,DH
DH*1504,Dh 1504,DH
DH*1505,Dh 1505,DH
DH*1506,Dh 1506,DH
DH*1507,Dh 1507,DH
DH*1508,Dh 1508,DH
DH*1509,Dh 1509,DH
DH*1510,Dh 1510,DH
DH*1511,Dh 1511,DH
DH*1512,Dh 1512,DH
DH*1513,Dh 1513,DH
DH*1514,Dh 1514,DH
DH*1515,Dh 1515,DH
DH*1516,Dh 1516,DH
DH*1517,Dh 1517,DH
DH*1518,Dh 1518,DH
DH*1521,Dh 1521,DH
DH*1522,Dh 1522,DH
DH*1525,Dh 1525,DH
DH*1526,Dh 1526,DH
DH*1527,Dh 1527,DH
DH*1528,Dh 1528,DH
DH*1529,Dh 1529,DH
DH*1530,Dh 1530,DH
DH*1531,Dh 1531,DH
DH*1532,Dh 1532,DH
DH*1533,Dh 1533,DH
DH*1534,Dh 1534,DH
DH*1535,Dh 1535,DH
DH*1536,Dh 1536,DH
DH*1537,Dh 1537,DH
DH*1538,Dh 1538,DH
DH*1539,Dh 1539,DH
DH*1541,Dh 1541,DH
DH*1542,Dh 1542,DH
DH*1E1,Elevator Cars,DH
DH*1E2,Elevator Cars,DH
DH*1STAIR1,Stairwell 1,DH
DH*1STAIR2,Stairwell 2,DH
DH*1STAIR3,Stairwell 3,DH
DH*1STAIR4,Stairwell 4,DH
DH*201,Corridor,DH
DH*201A,Data Closet DH 201A,DH
DH*203,Student Lounge,DH
DH*204,Electric Room,DH
DH*205,Custodial Closet,DH
DH*206,Corridor,DH
DH*228,Bathroom,DH
DH*245,Bathroom,DH
DH*246,Corridor,DH
DH*262,Elevator Mechanical Room,DH
DH*2E1,Elevator Cars,DH
DH*2E2,Elevator Cars,DH
DH*2STAIR1,Stairwell 1,DH
DH*2STAIR2,Stairwell2,DH
DH*2STAIR3,Stairwell3,DH
DH*301,Corridor,DH
DH*303,Student Lounge,DH
DH*305,Custodial Closet,DH
DH*306,Corridor,DH
DH*307,Electric Room,DH
DH*325,Elevator Mechanical Room,DH
DH*328,Bathroom,DH
DH*345,Bathroom,DH
DH*346,Corridor,DH
DH*3E1,Elevator Cars,DH
DH*3E2,Elevator Cars,DH
DH*3STAIR1,Stairwell 1,DH
DH*3STAIR2,Stairwell 2,DH
DH*3STAIR3,Stairwell 3,DH
DH*401,Corridor,DH
DH*401A,Data Closet DH 401A,DH
DH*403,Student Lounge,DH
DH*404,Electric Room,DH
DH*405,Custodial Closet,DH
DH*406,Corridor,DH
DH*425,Elevator Mechanical Room,DH
DH*428,Bathroom,DH
DH*445,Bathroom,DH
DH*446,Corridor,DH
DH*4E1,Elevator Cars,DH
DH*4E2,Elevator Cars,DH
DH*4STAIR1,Stairwell 1,DH
